solution_id,algorithm,accuracy,abnormal_recall,false_negative_rate,norm_train_time,norm_test_time,C,penalty,solver,n_estimators,max_depth,learning_rate,subsample,colsample_bytree
1,lr,0.7142857142857143,0.6851851851851852,0.3148148148148148,0.002212190628051758,0.0,0.20378292523,l1,saga,,,,,
2,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,52.3750442445538,l2,saga,,,,,
3,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,1.4662554457485,l1,liblinear,,,,,
4,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,97.1722301468354,l2,liblinear,,,,,
5,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,6.0241979669101,l2,saga,,,,,
6,xgb,0.7597402597402597,0.8148148148148148,0.18518518518518517,0.0026823759078979494,0.3178119659423828,,,,51.0,3.0,0.0121021327804,0.9129608607644,0.7488434995129
7,xgb,0.7857142857142857,0.7962962962962963,0.2037037037037037,0.011091244220733643,0.0,,,,50.0,9.0,0.0140293346419,0.9126237288675,0.868470557435
8,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0491116069835,l2,saga,,,,,
9,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,0.7006804152681,l2,liblinear,,,,,
10,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,56.5345087852098,l2,liblinear,,,,,
11,xgb,0.7532467532467533,0.8148148148148148,0.18518518518518517,0.0031610369682312013,0.0,,,,50.0,3.0,0.0145999307725,0.9130046795364,0.8684694045897
12,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,10.9872773773478,l2,saga,,,,,
13,xgb,0.7857142857142857,0.7962962962962963,0.2037037037037037,0.010290467739105224,0.31558990478515625,,,,50.0,9.0,0.0140168204244,0.9126237288675,0.8662558993058
14,xgb,0.7597402597402597,0.8148148148148148,0.18518518518518517,0.0038810491561889647,0.03493309020996094,,,,51.0,3.0,0.0145474676338,0.9130046795364,0.8684694045897
15,xgb,0.7857142857142857,0.7962962962962963,0.2037037037037037,0.010800111293792724,0.10404109954833984,,,,50.0,9.0,0.0140357944919,0.9127102610292,0.8570247059098
16,xgb,0.7857142857142857,0.7962962962962963,0.2037037037037037,0.010399222373962402,0.25307655334472656,,,,50.0,9.0,0.0140397432658,0.9127284034937,0.844681746717
17,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,3.3514943045635,l1,saga,,,,,
18,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,72.7420826493834,l2,liblinear,,,,,
19,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,1.470974134533038,l1,saga,,,,,
20,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,1.7292310724138056,l2,saga,,,,,
21,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,0.9169384722192326,l1,liblinear,,,,,
22,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,21.000543772387868,l1,liblinear,,,,,
23,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,6.584516697990207,l1,saga,,,,,
24,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,21.000543772387868,l1,liblinear,,,,,
25,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,81.41107748169141,l1,liblinear,,,,,
26,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,78.63665171073221,l1,liblinear,,,,,
27,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,21.000543772387868,l1,liblinear,,,,,
28,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,0.3028177124093222,l2,liblinear,,,,,
29,lr,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0,0.0,0.9730856706335548,l1,liblinear,,,,,
30,xgb,0.7727272727272727,0.8333333333333334,0.16666666666666666,0.006326007843017578,0.0,,,,106.0,3.0,0.03872285574059258,0.9643429798119983,0.8082570569064353
